系統,色番,R,G,B,
ピンク,001,243,214,219,
ピンク,002,246,204,218,
ピンク,124,220,149,193,
ピンク,125,200,122,174,
ピンク,126,166,57,98,
ピンク,127,91,31,56,
ピンク,006,228,216,201,"画像つぶれてる。20,26との差見てくる"
ピンク,008,235,199,183,
ピンク,003,250,164,147,
赤,004,223,104,108,
赤,010,183,37,47,
赤,011,152,21,39,
赤,012,160,45,60,
赤,013,110,13,24,
赤,019,168,29,50,
オレンジ,018,216,59,52,
オレンジ,017,225,101,41,
オレンジ,016,249,135,72,
オレンジ,015,255,184,103,
オレンジ,022,206,152,108,
オレンジ,023,209,120,78,
オレンジ,024,173,66,58,
黄,044,210,160,100,
黄,043,237,170,92,
黄,042,255,230,120,
黄,041,254,229,103,
黄,039,255,248,192,
黄,046,253,245,173,
黄,047,232,220,135,
茶,050,97,87,62,
茶,031,109,69,49,黄色っぽい茶色？36との差見てくる
茶,036,72,47,39,
茶,037,66,42,44,
茶,142,141,118,103,
茶,141,161,144,116,
ベージュ,027,237,214,171,
ベージュ,139,229,209,182,
ベージュ,045,255,252,220,
ベージュ,038,243,227,212,
ベージュ,026,252,222,214,ピンクに見える。見てくる
ベージュ,020,255,246,241,ピンクに見える。見てくる
緑,133,221,228,209,
緑,052,241,245,174,
緑,054,229,230,170,
緑,055,175,191,130,
緑,048,154,149,94,
緑,056,116,130,68,
緑,057,74,75,61,
緑,132,29,21,17,茶色に見える。見てくる
緑,065,55,68,58,
緑,064,51,117,88,
緑,063,81,104,83,
緑,062,176,192,151,
緑,059,145,230,129,
緑,058,156,235,95,
緑,067,227,239,223,
緑,068,134,180,127,
緑,071,24,113,92,
緑,072,35,76,71,
緑,077,28,46,51,
緑,075,80,179,176,
緑,074,119,235,223,
緑,073,168,225,210,
青,066,223,241,241,
青,088,195,211,226,
青,098,167,182,203,88との差見てくる
青,078,201,232,250,
青,079,185,232,244,
青,082,166,204,248,
青,083,141,198,243,
青,080,85,205,230,
青,084,73,119,169,
青,090,74,132,201,
青,091,62,100,180,
青,081,68,126,143,
紺,085,36,63,100,
紺,086,36,46,79,
紺,092,33,55,81,
紫,105,97,105,141,
紫,111,62,38,91,
紫,114,67,23,110,
紫,108,158,147,186,
紫,112,223,212,253,
紫,107,232,213,232,
紫,117,218,155,162,
紫,116,170,125,158,
紫,122,53,37,64,
紫,123,74,52,77,
灰,146,224,224,231,
白,143,255,255,255,真っ白？見てくる
白,144,255,253,245,生成？見てくる
黒,150,0,0,0,
